"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"294.933";"0.359";"100.0";"291.767";"3.712";"90.0";"259.433";"28.438";"0.0"
"./data/files/f2.txt";"996.667";"17.88";"76.667";"980.0";"19.76";"73.333";"825.9";"46.668";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"28.867";"3.784";"0.0";"32.3";"3.551";"96.667"
"./data/files/f4.txt";"23.0";"0.0";"93.333";"21.433";"2.472";"90.0";"22.967";"0.18";"100.0"
"./data/files/f5.txt";"473.254";"16.958";"100.0";"452.273";"16.332";"83.333";"362.846";"45.679";"0.0"
"./data/files/f6.txt";"51.867";"0.427";"100.0";"51.967";"0.18";"100.0";"49.633";"1.888";"90.0"
"./data/files/f7.txt";"107.0";"0.0";"96.667";"103.267";"4.381";"100.0";"103.733";"2.768";"100.0"
"./data/files/f8.txt";"9761.5";"3.49";"46.667";"9760.1";"3.969";"0.0";"9695.567";"111.08";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"105.7";"14.064";"0.0";"116.667";"11.881";"100.0"
"./data/files/f10.txt";"1008.167";"17.707";"100.0";"975.733";"26.384";"6.667";"832.5";"47.423";"0.0"
"./data/files/Knapsack1.txt";"99073.267";"781.278";"0.0";"97121.833";"5021.626";"0.0";"99289.5";"397.777";"0.0"
"./data/files/Knapsack2.txt";"139434.967";"625.882";"0.0";"139943.833";"730.405";"0.0";"138376.133";"1812.148";"0.0"
"./data/files/Knapsack3.txt";"97697.0";"2301.888";"10.0";"100151.7";"72.16";"93.333";"99716.0";"368.352";"43.333"
"./data/files/Knapsack4.txt";"3950456.567";"4056.929";"0.0";"3952194.4";"3900.38";"0.0";"3942831.7";"2806.14";"0.0"
"./data/files/Knapsack5.txt";"100593.367";"1656.88";"0.0";"106035.367";"888.43";"0.0";"100534.367";"1017.081";"0.0"
"./data/files/Knapsack6.txt";"996932.967";"23200.687";"0.0";"1062536.8";"7167.992";"0.0";"1001809.667";"7748.467";"0.0"
